gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group B,bachelor's degree,standard,none,72,72,74
female,group C,some college,standard,completed,69,90,88
female,group B,master's degree,standard,none,90,95,93
male,group A,associate's degree,free/reduced,none,47,57,44
male,group C,some college,standard,none,76,78,75
female,group B,associate's degree,standard,completed,71,83,78
female,group B,some college,standard,none,88,95,92
male,group B,some college,free/reduced,completed,40,43,39
male,group D,high school,free/reduced,none,64,64,67
female,group C,some high school,standard,completed,38,60,50
male,group C,associate's degree,standard,none,58,54,52
female,group D,associate's degree,standard,completed,65,75,78
male,group B,bachelor's degree,free/reduced,none,78,65,67
male,group A,high school,standard,completed,85,89,91
female,group D,master's degree,standard,completed,92,100,98
